Date,WeekDay,Weekend,Holiday
2014-09-24,Wednesday,No,No
2014-09-25,Thursday,No,No
2014-09-26,Friday,No,No
2014-09-27,Saturday,Yes,No
2014-09-29,Monday,No,No
2014-09-30,Tuesday,No,No
2014-10-01,Wednesday,No,No
2014-10-03,Friday,No,No
2014-10-05,Sunday,Yes,No
2014-10-06,Monday,No,No
2014-10-07,Tuesday,No,No
2014-10-08,Wednesday,No,No
2014-10-09,Thursday,No,No
2014-10-10,Friday,No,No
2014-10-13,Monday,No,No
2014-10-14,Tuesday,No,No
2014-10-16,Thursday,No,No
2014-10-17,Friday,No,No
2014-10-20,Monday,No,No
2014-10-21,Tuesday,No,No
2014-10-22,Wednesday,No,No
2014-10-23,Thursday,No,Yes
2014-10-24,Friday,No,No
2014-10-27,Monday,No,No
2014-10-28,Tuesday,No,No
2014-10-29,Wednesday,No,No
2014-10-30,Thursday,No,No
2014-10-31,Friday,No,No
2014-11-03,Monday,No,No
2014-11-04,Tuesday,No,No
2014-11-05,Wednesday,No,No
2014-11-06,Thursday,No,No
2014-11-07,Friday,No,No
2014-11-10,Monday,No,No
2014-11-11,Tuesday,No,No
2014-11-12,Wednesday,No,No
2014-11-13,Thursday,No,No
2014-11-14,Friday,No,No
2014-11-16,Sunday,Yes,No
2014-11-17,Monday,No,No
2014-11-18,Tuesday,No,No
2014-11-19,Wednesday,No,No
2014-11-20,Thursday,No,No
2014-11-21,Friday,No,No
2014-11-24,Monday,No,No
2014-11-25,Tuesday,No,No
2014-11-26,Wednesday,No,No
2014-11-27,Thursday,No,No
2014-11-28,Friday,No,No
2014-12-01,Monday,No,No
2014-12-02,Tuesday,No,No
2014-12-03,Wednesday,No,No
2014-12-04,Thursday,No,No
2014-12-05,Friday,No,No
2014-12-08,Monday,No,No
2014-12-09,Tuesday,No,No
2014-12-10,Wednesday,No,No
2014-12-11,Thursday,No,No
2014-12-12,Friday,No,No
2014-12-15,Monday,No,No
2014-12-16,Tuesday,No,No
2014-12-17,Wednesday,No,No
2014-12-18,Thursday,No,No
2014-12-19,Friday,No,No
2014-12-22,Monday,No,No
2014-12-23,Tuesday,No,No
2014-12-24,Wednesday,No,No
2014-12-26,Friday,No,No
2014-12-29,Monday,No,No
2014-12-30,Tuesday,No,No
2014-12-31,Wednesday,No,No
2015-01-01,Thursday,No,No
2015-01-02,Friday,No,No
2015-01-05,Monday,No,No
2015-01-06,Tuesday,No,No
2015-01-07,Wednesday,No,No
2015-01-08,Thursday,No,No
2015-01-09,Friday,No,No
2015-01-12,Monday,No,No
2015-01-13,Tuesday,No,No
2015-01-14,Wednesday,No,No
2015-01-15,Thursday,No,No
2015-01-16,Friday,No,No
2015-01-17,Saturday,Yes,No
2015-01-19,Monday,No,No
2015-01-20,Tuesday,No,No
2015-01-21,Wednesday,No,No
2015-01-22,Thursday,No,No
2015-01-23,Friday,No,No
2015-01-25,Sunday,Yes,No
2015-01-27,Tuesday,No,No
2015-01-28,Wednesday,No,No
2015-01-29,Thursday,No,No
2015-01-30,Friday,No,No
2015-02-02,Monday,No,No
2015-02-03,Tuesday,No,No
2015-02-04,Wednesday,No,No
2015-02-05,Thursday,No,No
2015-02-06,Friday,No,No
2015-02-09,Monday,No,No
2015-02-10,Tuesday,No,No
2015-02-11,Wednesday,No,No
2015-02-12,Thursday,No,No
2015-02-13,Friday,No,No
2015-02-16,Monday,No,No
2015-02-17,Tuesday,No,No
2015-02-18,Wednesday,No,No
2015-02-19,Thursday,No,No
2015-02-20,Friday,No,No
2015-02-21,Saturday,Yes,No
2015-02-23,Monday,No,No
2015-02-24,Tuesday,No,No
2015-02-25,Wednesday,No,No
2015-02-26,Thursday,No,No
2015-02-27,Friday,No,No
2015-02-28,Saturday,Yes,No
2015-03-02,Monday,No,No
2015-03-03,Tuesday,No,No
2015-03-04,Wednesday,No,No
2015-03-05,Thursday,No,No
2015-03-06,Friday,No,Yes
2015-03-09,Monday,No,No
2015-03-10,Tuesday,No,No
2015-03-11,Wednesday,No,No
2015-03-12,Thursday,No,No
2015-03-13,Friday,No,No
2015-03-14,Saturday,Yes,No
2015-03-16,Monday,No,No
2015-03-17,Tuesday,No,No
2015-03-18,Wednesday,No,No
2015-03-19,Thursday,No,No
2015-03-20,Friday,No,No
2015-03-23,Monday,No,No
2015-03-24,Tuesday,No,No
2015-03-25,Wednesday,No,No
2015-03-26,Thursday,No,No
2015-03-27,Friday,No,No
2015-03-30,Monday,No,No
2015-03-31,Tuesday,No,No
2015-04-01,Wednesday,No,No
2015-04-02,Thursday,No,No
2015-04-06,Monday,No,No
2015-04-07,Tuesday,No,No
2015-04-08,Wednesday,No,No
2015-04-09,Thursday,No,No
2015-04-10,Friday,No,No
2015-04-13,Monday,No,No
2015-04-14,Tuesday,No,No
2015-04-15,Wednesday,No,No
2015-04-16,Thursday,No,No
2015-04-17,Friday,No,No
2015-04-20,Monday,No,No
2015-04-21,Tuesday,No,No
2015-04-22,Wednesday,No,No
2015-04-23,Thursday,No,No
2015-04-24,Friday,No,No
2015-04-27,Monday,No,No
2015-04-28,Tuesday,No,No
2015-04-29,Wednesday,No,No
2015-04-30,Thursday,No,No
2015-05-01,Friday,No,No
2015-05-04,Monday,No,No
2015-05-05,Tuesday,No,No
2015-05-06,Wednesday,No,No
2015-05-07,Thursday,No,No
2015-05-08,Friday,No,No
2015-05-11,Monday,No,No
2015-05-12,Tuesday,No,No
2015-05-13,Wednesday,No,No
2015-05-14,Thursday,No,No
2015-05-15,Friday,No,No
2015-05-18,Monday,No,No
2015-05-19,Tuesday,No,No
2015-05-20,Wednesday,No,No
2015-05-21,Thursday,No,No
2015-05-22,Friday,No,No
2015-05-25,Monday,No,No
2015-05-26,Tuesday,No,No
2015-05-27,Wednesday,No,No
2015-05-28,Thursday,No,No
2015-05-29,Friday,No,No
2015-06-01,Monday,No,No
2015-06-02,Tuesday,No,No
2015-06-03,Wednesday,No,No
2015-06-04,Thursday,No,No
2015-06-05,Friday,No,No
2015-06-08,Monday,No,No
2015-06-09,Tuesday,No,No
2015-06-10,Wednesday,No,No
2015-06-11,Thursday,No,No
2015-06-12,Friday,No,No
2015-06-15,Monday,No,No
2015-06-16,Tuesday,No,No
2015-06-17,Wednesday,No,No
2015-06-18,Thursday,No,No
2015-06-19,Friday,No,No
2015-06-22,Monday,No,No
2015-06-23,Tuesday,No,No
2015-06-24,Wednesday,No,No
2015-06-25,Thursday,No,No
2015-06-26,Friday,No,No
2015-06-29,Monday,No,No
2015-06-30,Tuesday,No,No
2015-07-01,Wednesday,No,No
2015-07-02,Thursday,No,No
2015-07-03,Friday,No,No
2015-07-06,Monday,No,No
2015-07-07,Tuesday,No,No
2015-07-08,Wednesday,No,No
2015-07-09,Thursday,No,No
2015-07-10,Friday,No,No
2015-07-13,Monday,No,No
