State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.2,2600,2800,2700,02/01/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.23,2600,2800,2700,05/01/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.24,4200,4700,4500,09/01/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2000,2000,12/01/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,16/01/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,23/01/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,30/01/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,06/02/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,09/02/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,13/02/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,16/02/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,20/02/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,24/02/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,27/02/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,02/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,06/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,09/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,16/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,19/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,20/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,23/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,23/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,27/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2200,2000,30/03/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2300,2000,03/04/2009
Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600,2300,2000,06/04/2009
