datetime,humidity,pressure,temperature,wind_direction,wind_speed
2014-05-01 12-00,80.0,1031.0,288.848,176,1
2014-05-01 13-00,74.0,1031.0,289.3616667,320,0
2014-05-01 14-00,36.0,1031.0,286.8923333,335,0
2014-05-01 15-00,68.0,1032.0,285.9435,157,0
2014-05-01 16-00,84.0,1032.0,282.9673333,236,0
2014-05-01 17-00,22.0,1032.0,281.5116667,123,0
2014-05-01 18-00,25.0,1032.0,281.0765,182,0
2014-05-01 19-00,21.0,1032.0,279.2806667,12,0
2014-05-01 20-00,23.0,1032.0,278.5053333,13,0
2014-05-01 21-00,19.0,1032.0,278.1445,14,0
2014-05-01 22-00,19.0,1032.0,277.231,16,0
2014-05-01 23-00,15.0,1032.0,276.732,17,0
2014-06-01 00-00,27.0,1032.0,276.6045,13,0
2014-06-01 01-00,34.0,1032.0,275.9816667,16,0
2014-06-01 02-00,27.0,1033.0,275.7303333,14,0
2014-06-01 03-00,27.0,1033.0,281.742,15,1
2014-06-01 04-00,34.0,1033.0,279.403,12,1
2014-06-01 05-00,27.0,1031.0,283.327,11,1
2014-06-01 06-00,37.0,1032.0,284.642,177,1
2014-06-01 07-00,17.0,1031.0,289.4356667,122,1
2014-06-01 08-00,26.0,1031.0,291.6203333,232,1
2014-06-01 09-00,19.0,1030.0,289.7965,156,1
2014-06-01 10-00,24.0,1030.0,293.3173333,329,0
2014-06-01 11-00,23.0,1030.0,292.8296667,315,0
2014-06-01 12-00,41.0,1029.0,288.7725,184,0
2014-06-01 13-00,22.0,1029.0,289.4746667,209,0
2014-06-01 14-00,18.0,1030.0,286.6073333,118,0
2014-06-01 15-00,28.0,1030.0,286.153,159,0
2014-06-01 16-00,33.0,1030.0,282.4813333,23,0
2014-06-01 17-00,13.0,1030.0,281.2226667,20,0
2014-06-01 18-00,18.0,1030.0,280.91,19,0
2014-06-01 19-00,18.0,1030.0,279.336,16,0
2014-06-01 20-00,11.0,1030.0,278.708,14,0
2014-06-01 21-00,10.0,1030.0,278.141,17,0
2014-06-01 22-00,14.0,1030.0,277.4926667,14,0
2014-06-01 23-00,22.0,1030.0,276.9053333,15,0
2014-07-01 00-00,8.0,1030.0,276.7505,17,1
2014-07-01 01-00,19.0,1030.0,276.019,17,1
2014-07-01 02-00,27.0,1030.0,275.72,19,1
2014-07-01 03-00,56.0,1030.0,282.4695,22,1
2014-07-01 04-00,38.0,1030.0,279.821,23,1
2014-07-01 05-00,27.0,1029.0,284.221,26,1
2014-07-01 06-00,27.0,1029.0,284.7765,103,0
2014-07-01 07-00,42.0,1028.0,290.458,80,0
2014-07-01 08-00,42.0,1028.0,292.295,132,0
